PlayerName,Position,BodyFatPercentage,HandLength_Inches,HandWidth_Inches,HeightWithoutShoes_Inches,HeightWithShoes_Inches,StandingReach_Inches,Weight_lbs,Wingspan_Inches,ID,Rank,PickNumber,Team,College,PlayedOverseas,YearsPlayed,GamesPlayed,TotalMinutesPlayed,TotalPoints,TotalRebounds,TotalAssists,FieldGoalPercentage,ThreePointPercentage,FreeThrowPercentage,WinShares,WinSharesPer48Minutes,BoxPlusMinus,ValueOverReplacementPlayer,DraftYear,MinutesPerGame,PointsPerGame,ReboundsPerGame,AssistsPerGame
tyler dorsey,SG,0.05,8.5,9.25,75.0,76.5,99.5,182.6,77.25,1609,41,41,ATL,Oregon,DOMESTIC,2.0,104,33406,701,243,135,0.389,0.35,0.669,1.0,0.03,-3.1,-0.5,2017,16.1,6.7,2.3,1.3
damyean dotson,SG-SF,0.05,8.5,9.25,76.5,77.5,100.0,205.2,81.0,1612,44,44,NYK,Oregon,DOMESTIC,5.0,213,33406,1594,532,315,0.417,0.345,0.711,3.0,0.034,-2.8,-0.9,2017,19.9,7.5,2.5,1.5
jawun evans,PG,0.09,8.0,7.75,70.75,71.5,95.0,185.2,77.5,1607,39,39,PHI,Oklahoma State,DOMESTIC,2.0,56,33406,237,96,110,0.345,0.263,0.776,-0.4,-0.022,-5.4,-0.7,2017,15.1,4.2,1.7,2.0
terrance ferguson,SG-SF,0.06,8.5,10.0,77.5,79.0,103.0,184.4,80.75,1589,21,21,OKC,FOREIGN,FOREIGN,4.0,204,33406,924,263,144,0.404,0.334,0.753,4.4,0.053,-4.0,-2.1,2017,19.6,4.5,1.3,0.7
markelle fultz,PG,0.07,8.71,9.3,76.75,77.92,102.31,211.35,81.8,1569,1,1,PHI,Washington,DOMESTIC,4.0,113,33406,1228,376,524,0.447,0.265,0.695,3.1,0.052,-2.2,-0.2,2017,25.6,10.9,3.3,4.6
harry giles,PF,0.05,9.5,10.75,81.25,82.5,109.5,232.0,87.25,1588,20,20,POR,Duke,DOMESTIC,3.0,142,33406,832,543,174,0.511,0.258,0.671,3.0,0.079,-2.4,-0.2,2017,12.9,5.9,3.8,1.2
frank jackson,PG,0.07,8.25,9.0,74.0,75.5,98.0,201.6,79.5,1599,31,31,CHA,Duke,DOMESTIC,4.0,203,33406,1724,372,207,0.426,0.338,0.774,2.3,0.03,-3.8,-1.7,2017,18.1,8.5,1.8,1.0
luke kennard,SG-SF,0.07,8.0,8.75,76.5,77.5,98.5,196.2,77.25,1580,12,12,DET,Duke,DOMESTIC,5.0,277,33406,2724,792,570,0.449,0.422,0.864,13.1,0.098,-0.3,2.9,2017,23.3,9.8,2.9,2.1
kyle kuzma,SF-SG,0.09,8.5,9.5,80.0,81.5,107.5,222.6,84.25,1595,27,27,BRK,Utah,DOMESTIC,5.0,331,33406,5103,2038,696,0.448,0.338,0.722,14.3,0.069,-1.0,2.5,2017,30.3,15.4,6.2,2.1
tyler lydon,PF,0.14,8.75,8.75,80.25,81.5,107.5,215.0,84.0,1592,24,24,UTA,Syracuse,DOMESTIC,2.0,26,33406,23,18,6,0.5,0.4,0.333,0.2,0.084,-4.3,-0.1,2017,3.7,0.9,0.7,0.2
frank mason iii,PG,0.04,8.0,9.25,71.0,72.0,94.0,188.8,75.25,1602,34,34,SAC,Kansas,DOMESTIC,4.0,103,33406,695,204,272,0.396,0.301,0.755,1.2,0.035,-2.6,-0.3,2017,15.7,6.7,2.0,2.6
donovan mitchell,SG,0.06,8.5,9.5,73.25,75.0,97.0,211.4,82.0,1581,13,13,DEN,Louisville,DOMESTIC,5.0,324,33406,7685,1345,1423,0.441,0.36,0.835,27.3,0.12,2.4,12.2,2017,33.7,23.7,4.2,4.4
monte morris,PG,0.07,8.25,8.75,73.25,74.5,96.5,175.2,76.0,1619,51,51,DEN,Iowa State,DOMESTIC,5.0,257,33406,2660,583,934,0.478,0.388,0.823,16.6,0.125,0.3,3.7,2017,24.9,10.4,2.3,3.6
svi mykhailiuk,SG-SF,0.11,8.0,9.25,78.5,79.5,100.0,219.6,77.0,1675,47,47,LAL,Kansas,DOMESTIC,4.0,207,33406,1424,392,293,0.4,0.354,0.779,2.5,0.033,-2.6,-0.6,2018,17.8,6.9,1.9,1.4
semi ojeleye,SF-SG,0.06,8.75,9.5,77.25,78.75,102.0,241.4,81.75,1605,37,37,BOS,SMU,DOMESTIC,5.0,276,33406,941,599,122,0.382,0.343,0.706,5.0,0.059,-3.5,-1.5,2017,14.6,3.4,2.2,0.4
justin patton,C,0.08,8.75,9.75,82.0,83.25,111.5,229.0,87.0,1584,16,16,CHI,Creighton,DOMESTIC,4.0,22,33406,86,60,19,0.404,0.25,0.667,0.4,0.066,-2.8,-0.1,2017,13.5,3.9,2.7,0.9
alec peters,PF,0.09,8.75,10.0,79.25,80.75,105.0,232.0,82.75,1622,54,54,PHO,Valparaiso,DOMESTIC,1.0,20,33406,82,37,12,0.378,0.31,0.8,0.3,0.055,-2.8,0.0,2017,11.3,4.1,1.9,0.6
ivan rabb,PF,0.07,8.75,9.0,80.75,82.0,109.0,219.6,85.5,1603,35,35,ORL,California,DOMESTIC,2.0,85,33406,485,364,86,0.555,0.2,0.743,3.2,0.125,-1.7,0.1,2017,14.6,5.7,4.3,1.0
davon reed,SG-SF,0.07,9.25,9.5,76.5,77.5,102.0,206.2,84.0,1600,32,32,PHO,Miami (FL),DOMESTIC,3.0,60,33406,192,118,45,0.393,0.379,0.706,0.8,0.054,-2.6,-0.1,2017,11.5,3.2,2.0,0.8
